[2026-01-14 23:59:18] Andorra | Capitale: Andorra la Vella
[2026-01-15 00:00:16] British Virgin IslandsCapital:Road TownPopulation:21730Area (km2):153.0 | Capitale: Road Town
[2026-01-15 00:00:16] U.S. Virgin IslandsCapital:Charlotte AmaliePopulation:108708Area (km2):352.0 | Capitale: Charlotte Amalie
[2026-01-15 00:00:16] VietnamCapital:HanoiPopulation:89571130Area (km2):329560.0 | Capitale: Hanoi
[2026-01-15 00:00:16] VanuatuCapital:Port VilaPopulation:221552Area (km2):12200.0 | Capitale: Port Vila
[2026-01-15 00:00:16] Wallis and FutunaCapital:Mata-UtuPopulation:16025Area (km2):274.0 | Capitale: Mata-Utu
[2026-01-15 00:00:16] SamoaCapital:ApiaPopulation:192001Area (km2):2944.0 | Capitale: Apia
[2026-01-15 00:00:16] KosovoCapital:PristinaPopulation:1800000Area (km2):10908.0 | Capitale: Pristina
[2026-01-15 00:00:16] YemenCapital:SanaaPopulation:23495361Area (km2):527970.0 | Capitale: Sanaa
[2026-01-15 00:00:16] MayotteCapital:MamoudzouPopulation:159042Area (km2):374.0 | Capitale: Mamoudzou
[2026-01-15 00:00:16] South AfricaCapital:PretoriaPopulation:49000000Area (km2):1219912.0 | Capitale: Pretoria
[2026-01-15 00:00:16] ZambiaCapital:LusakaPopulation:13460305Area (km2):752614.0 | Capitale: Lusaka
[2026-01-15 00:00:16] ZimbabweCapital:HararePopulation:11651858Area (km2):390580.0 | Capitale: Harare
